site;var_name;value;exceldate
Ahaus;mean temperature;2.10;18991
Ahaus;mean temperature;4.10;18992
Ahaus;mean temperature;3.00;18993
Ahaus;mean temperature;2.60;18994
Ahaus;mean temperature;3.90;18995
Ahaus;mean temperature;2.40;18996
Ahaus;mean temperature;2.30;18997
Ahaus;mean temperature;1.80;18998
Ahaus;mean temperature;3.50;18999
Ahaus;mean temperature;5.80;19000
Ahaus;mean temperature;5.30;19001
Ahaus;mean temperature;3.70;19002
Ahaus;mean temperature;3.80;19003
Ahaus;mean temperature;3.90;19004
Ahaus;mean temperature;1.80;19005
Ahaus;mean temperature;2.40;19006
Ahaus;mean temperature;4.30;19007
Ahaus;mean temperature;7.10;19008
Ahaus;mean temperature;2.50;19009
Ahaus;mean temperature;1.50;19010
Ahaus;mean temperature;1.80;19011
Ahaus;mean temperature;1.10;19012
Ahaus;mean temperature;0.60;19013
Ahaus;mean temperature;1.50;19014
Ahaus;mean temperature;1.00;19015
Ahaus;mean temperature;-0.80;19016
Ahaus;mean temperature;-0.80;19017
Ahaus;mean temperature;-1.80;19018
Ahaus;mean temperature;0.00;19019
Ahaus;mean temperature;-1.40;19020
Ahaus;mean temperature;-1.90;19021
Ahaus;mean temperature;1.70;19022
Ahaus;mean temperature;1.30;19023
Ahaus;mean temperature;1.30;19024
Ahaus;mean temperature;0.60;19025
Ahaus;mean temperature;1.20;19026
Ahaus;mean temperature;1.10;19027
Ahaus;mean temperature;1.20;19028
Ahaus;mean temperature;2.40;19029
Ahaus;mean temperature;3.30;19030
Ahaus;mean temperature;4.90;19031
Ahaus;mean temperature;2.40;19032
Ahaus;mean temperature;0.50;19033
Ahaus;mean temperature;0.10;19034
Ahaus;mean temperature;0.50;19035
Ahaus;mean temperature;-1.10;19036
Ahaus;mean temperature;-0.10;19037
Ahaus;mean temperature;-0.40;19038
Ahaus;mean temperature;-1.30;19039
Ahaus;mean temperature;-0.40;19040
Ahaus;mean temperature;1.10;19041
Ahaus;mean temperature;0.80;19042
Ahaus;mean temperature;3.00;19043
Ahaus;mean temperature;4.90;19044
Ahaus;mean temperature;5.50;19045
Ahaus;mean temperature;4.40;19046
Ahaus;mean temperature;2.80;19047
Ahaus;mean temperature;5.20;19048
Ahaus;mean temperature;6.20;19049
Ahaus;mean temperature;4.60;19050
Ahaus;mean temperature;2.90;19051
Ahaus;mean temperature;2.90;19052
Ahaus;mean temperature;3.40;19053
Ahaus;mean temperature;3.60;19054
Ahaus;mean temperature;8.20;19055
Ahaus;mean temperature;9.70;19056
Ahaus;mean temperature;10.40;19057
Ahaus;mean temperature;6.50;19058
Ahaus;mean temperature;2.80;19059
Ahaus;mean temperature;1.90;19060
Ahaus;mean temperature;2.40;19061
Ahaus;mean temperature;5.60;19062
Ahaus;mean temperature;6.50;19063
Ahaus;mean temperature;4.00;19064
Ahaus;mean temperature;4.10;19065
Ahaus;mean temperature;2.30;19066
Ahaus;mean temperature;0.60;19067
Ahaus;mean temperature;2.50;19068
Ahaus;mean temperature;6.90;19069
Ahaus;mean temperature;8.00;19070
Ahaus;mean temperature;8.30;19071
Ahaus;mean temperature;6.90;19072
Ahaus;mean temperature;7.00;19073
Ahaus;mean temperature;4.20;19074
Ahaus;mean temperature;6.90;19075
Ahaus;mean temperature;5.40;19076
Ahaus;mean temperature;6.20;19077
Ahaus;mean temperature;3.90;19078
Ahaus;mean temperature;0.30;19079
Ahaus;mean temperature;-0.10;19080
Ahaus;mean temperature;0.50;19081
Ahaus;mean temperature;-1.30;19082
Ahaus;mean temperature;0.20;19083
Ahaus;mean temperature;0.00;19084
Ahaus;mean temperature;1.20;19085
Ahaus;mean temperature;2.50;19086
Ahaus;mean temperature;4.10;19087
Ahaus;mean temperature;5.30;19088
Ahaus;mean temperature;5.50;19089
Ahaus;mean temperature;8.80;19090
Ahaus;mean temperature;10.80;19091
Ahaus;mean temperature;11.40;19092
Ahaus;mean temperature;14.50;19093
Ahaus;mean temperature;15.10;19094
Ahaus;mean temperature;16.20;19095
Ahaus;mean temperature;15.90;19096
Ahaus;mean temperature;15.20;19097
Ahaus;mean temperature;14.90;19098
Ahaus;mean temperature;15.90;19099
Ahaus;mean temperature;14.50;19100
Ahaus;mean temperature;14.30;19101
Ahaus;mean temperature;14.30;19102
Ahaus;mean temperature;14.30;19103
Ahaus;mean temperature;12.10;19104
Ahaus;mean temperature;13.40;19105
Ahaus;mean temperature;10.60;19106
Ahaus;mean temperature;10.50;19107
Ahaus;mean temperature;10.00;19108
Ahaus;mean temperature;8.20;19109
Ahaus;mean temperature;7.70;19110
Ahaus;mean temperature;7.40;19111
Ahaus;mean temperature;7.30;19112
Ahaus;mean temperature;9.20;19113
Ahaus;mean temperature;14.70;19114
Ahaus;mean temperature;17.00;19115
Ahaus;mean temperature;15.60;19116
Ahaus;mean temperature;14.70;19117
Ahaus;mean temperature;13.80;19118
Ahaus;mean temperature;13.90;19119
Ahaus;mean temperature;16.20;19120
Ahaus;mean temperature;13.20;19121
Ahaus;mean temperature;15.60;19122
Ahaus;mean temperature;14.10;19123
Ahaus;mean temperature;13.80;19124
Ahaus;mean temperature;14.90;19125
Ahaus;mean temperature;11.80;19126
Ahaus;mean temperature;11.00;19127
Ahaus;mean temperature;13.80;19128
Ahaus;mean temperature;15.30;19129
Ahaus;mean temperature;14.30;19130
Ahaus;mean temperature;13.30;19131
Ahaus;mean temperature;16.00;19132
Ahaus;mean temperature;13.40;19133
Ahaus;mean temperature;9.80;19134
Ahaus;mean temperature;11.10;19135
Ahaus;mean temperature;12.40;19136
Ahaus;mean temperature;12.80;19137
Ahaus;mean temperature;10.80;19138
Ahaus;mean temperature;11.90;19139
Ahaus;mean temperature;11.40;19140
Ahaus;mean temperature;11.00;19141
Ahaus;mean temperature;10.90;19142
Ahaus;mean temperature;9.60;19143
Ahaus;mean temperature;13.50;19144
Ahaus;mean temperature;16.00;19145
Ahaus;mean temperature;17.30;19146
Ahaus;mean temperature;15.00;19147
Ahaus;mean temperature;12.10;19148
Ahaus;mean temperature;13.90;19149
Ahaus;mean temperature;18.00;19150
Ahaus;mean temperature;16.40;19151
Ahaus;mean temperature;11.90;19152
Ahaus;mean temperature;12.10;19153
Ahaus;mean temperature;11.90;19154
Ahaus;mean temperature;14.60;19155
Ahaus;mean temperature;15.10;19156
Ahaus;mean temperature;15.10;19157
Ahaus;mean temperature;19.70;19158
Ahaus;mean temperature;16.10;19159
Ahaus;mean temperature;10.60;19160
Ahaus;mean temperature;12.00;19161
Ahaus;mean temperature;18.10;19162
Ahaus;mean temperature;15.50;19163
Ahaus;mean temperature;12.50;19164
Ahaus;mean temperature;13.20;19165
Ahaus;mean temperature;13.00;19166
Ahaus;mean temperature;13.80;19167
Ahaus;mean temperature;12.60;19168
Ahaus;mean temperature;13.30;19169
Ahaus;mean temperature;14.70;19170
Ahaus;mean temperature;12.80;19171
Ahaus;mean temperature;17.20;19172
Ahaus;mean temperature;20.00;19173
Ahaus;mean temperature;22.00;19174
Ahaus;mean temperature;23.00;19175
Ahaus;mean temperature;24.60;19176
Ahaus;mean temperature;25.30;19177
Ahaus;mean temperature;19.10;19178
Ahaus;mean temperature;16.00;19179
Ahaus;mean temperature;21.60;19180
Ahaus;mean temperature;24.50;19181
Ahaus;mean temperature;23.00;19182
Ahaus;mean temperature;21.50;19183
Ahaus;mean temperature;17.10;19184
Ahaus;mean temperature;19.70;19185
Ahaus;mean temperature;20.50;19186
Ahaus;mean temperature;15.10;19187
Ahaus;mean temperature;16.50;19188
Ahaus;mean temperature;15.70;19189
Ahaus;mean temperature;13.50;19190
Ahaus;mean temperature;14.50;19191
Ahaus;mean temperature;15.10;19192
Ahaus;mean temperature;14.60;19193
Ahaus;mean temperature;16.30;19194
Ahaus;mean temperature;17.60;19195
Ahaus;mean temperature;16.40;19196
Ahaus;mean temperature;19.60;19197
Ahaus;mean temperature;15.00;19198
Ahaus;mean temperature;15.20;19199
Ahaus;mean temperature;15.90;19200
Ahaus;mean temperature;16.30;19201
Ahaus;mean temperature;14.50;19202
Ahaus;mean temperature;12.60;19203
Ahaus;mean temperature;13.90;19204
Ahaus;mean temperature;16.00;19205
Ahaus;mean temperature;18.30;19206
Ahaus;mean temperature;19.20;19207
Ahaus;mean temperature;20.40;19208
Ahaus;mean temperature;17.20;19209
Ahaus;mean temperature;17.70;19210
Ahaus;mean temperature;19.50;19211
Ahaus;mean temperature;18.10;19212
Ahaus;mean temperature;18.60;19213
Ahaus;mean temperature;17.10;19214
Ahaus;mean temperature;17.40;19215
Ahaus;mean temperature;16.30;19216
Ahaus;mean temperature;19.20;19217
Ahaus;mean temperature;23.00;19218
Ahaus;mean temperature;19.40;19219
Ahaus;mean temperature;17.90;19220
Ahaus;mean temperature;18.20;19221
Ahaus;mean temperature;16.80;19222
Ahaus;mean temperature;15.20;19223
Ahaus;mean temperature;15.70;19224
Ahaus;mean temperature;14.90;19225
Ahaus;mean temperature;15.00;19226
Ahaus;mean temperature;14.20;19227
Ahaus;mean temperature;13.20;19228
Ahaus;mean temperature;15.80;19229
Ahaus;mean temperature;17.50;19230
Ahaus;mean temperature;16.60;19231
Ahaus;mean temperature;14.90;19232
Ahaus;mean temperature;18.70;19233
Ahaus;mean temperature;15.40;19234
Ahaus;mean temperature;15.50;19235
Ahaus;mean temperature;19.30;19236
Ahaus;mean temperature;18.20;19237
Ahaus;mean temperature;16.90;19238
Ahaus;mean temperature;14.20;19239
Ahaus;mean temperature;13.60;19240
Ahaus;mean temperature;11.60;19241
Ahaus;mean temperature;10.70;19242
Ahaus;mean temperature;10.10;19243
Ahaus;mean temperature;10.40;19244
Ahaus;mean temperature;10.50;19245
