STID;site;state;lat;lon;alt;Year;cultivar;YOR;N_fert;Y_max;soil;SQ;MAP;MAT;ACWB;trial;GP_P_mean;GP_P_sum;GP_T_max;GP_T_mean;GP_T_min;GS_P_mean;GS_P_sum;GS_T_max;GS_T_mean;GS_T_min;GS_TD;GS_TD_mean;SP_CWBm_J;SP_CWBneg_n_H;SP_CWBs_J;SP_ETPm_J;SP_ETPs_J;SP_P_mean;SP_P_sum;SP_T_max;SP_T_mean;SP_T_min;SP_TD;SP_TD_mean
124;Harste;NDS;51.6;9.87;140;1985;Kanzler;1980;190;74.8;ll;85.5;720.9;9.1;417.5;4;2.52;141.4;19.8;15.8;10.9;1.87;516.4;9.9;6.7;2.8;2142.4;9.4;0.52;15;12.59;3.84;92.31;4.37;104.9;19.2;14.9;9.7;356.7;14.9
125;Obernjesa;NDS;51.46;9.91;180;1986;Kronjuwel;1980;198.6;77.3;ll;76.5;723.7;8.9;422.3;5;1.5;70.9;22.7;18;11.6;2.04;587.3;9.5;6.3;2;2115.7;9.7;-0.28;24;-10.7;3.29;125.2;3.01;114.5;17.6;13.3;7.7;504.8;13.3
126;Obernjesa;NDS;51.46;9.91;180;1986;Kraka;1982;166.3;77.7;ll;76.5;723.7;8.9;422.3;6;1.5;70.9;22.7;18;11.6;2.04;587.3;9.5;6.3;2;2115.7;9.7;-0.28;24;-10.7;3.29;125.2;3.01;114.5;17.6;13.3;7.7;504.8;13.3
127;Obernjesa;NDS;51.46;9.91;180;1986;Gï¿½ï;1978;175;72;ll;76.5;723.7;8.9;422.3;7;1.5;70.9;22.7;18;11.6;2.04;587.3;9.5;6.3;2;2115.7;9.7;-0.28;24;-10.7;3.29;125.2;3.01;114.5;17.6;13.3;7.7;504.8;13.3
128;Obernjesa;NDS;51.46;9.91;180;1986;Kanzler;1980;184.3;77.3;ll;76.5;723.7;8.9;422.3;8;1.5;70.9;22.7;18;11.6;2.04;587.3;9.5;6.3;2;2115.7;9.7;-0.28;24;-10.7;3.29;125.2;3.01;114.5;17.6;13.3;7.7;504.8;13.3
129;Harste;NDS;51.6;9.87;140;1986;Kronjuwel;1980;220;74.8;ll;85.5;720.9;9.1;417.5;9;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
141;Kirchseeon;BY;48.06;11.91;570;2001;Flair;1996;206.2;81;sl;72;1110.5;8.2;821.7;1;4.72;250.6;21.3;15.8;10.9;2.85;806.6;12.3;7.4;3.8;2205.6;8.9;-1.79;33;-71.88;4.15;166.18;2.35;94.3;20.7;14.4;9;576.4;14.4
142;Kirchseeon;BY;48.06;11.91;570;2002;Flair;1996;199.6;72.3;sl;72;1110.5;8.2;821.7;2;3.29;154.9;24.3;18.2;13.2;2.51;684.7;12.1;7;3.1;2114.4;9.7;-0.18;32;-8.18;3.07;138.38;2.89;130.2;18.1;12.4;7.6;558.1;12.4
143;Kirchseeon;BY;48.06;11.91;570;2003;Flair;1996;195.6;61;sl;72;1110.5;8.2;821.7;3;2.22;111.1;26.5;19.8;14.2;2.15;549;12.4;7.1;2.9;2056.6;10.3;-1.29;31;-50.68;3.84;149.78;2.54;99.1;20.8;14.3;8.9;556.6;14.3
144;Kirchseeon;BY;48.06;11.91;570;2004;Flair;1996;224.8;86.6;sl;72;1110.5;8.2;821.7;4;3.63;229;21.7;16;11.4;2.39;646.5;11.5;6.6;2.7;1928.5;9.1;-0.82;27;-30.59;2.89;106.99;2.06;76.4;17.1;11.3;6.4;417.9;11.3
145;Kirchseeon;BY;48.06;11.91;570;2005;Flair;1996;225;73.3;sl;72;1110.5;8.2;821.7;5;4.01;196.8;22.9;17;12.2;2.71;746;11;6.2;2.4;1982.5;9.8;1.09;21;40.65;3.46;128.05;4.55;168.7;18.8;12.9;7.8;476.7;12.9
146;Schrobenhausen;BY;48.56;11.26;415;2001;Flair;1996;242.8;86.2;ls;48;797.9;8.5;498.6;6;2.13;104.6;23.2;17.4;10.6;2.29;612.4;12.3;7.8;3.5;2174.5;9.4;-0.97;22;-34.03;4.24;148.43;3.26;114.4;20.2;14.9;9.2;520;14.9
147;Schrobenhausen;BY;48.56;11.26;415;2002;Flair;1996;213.9;46.4;ls;48;797.9;8.5;498.6;7;2.94;141.5;24.3;18.5;12.9;2.22;577.7;12.1;7.3;3;2105.5;10.1;-0.69;25;-21.64;4.19;129.94;3.49;108.3;21.1;15.1;9.2;469;15.1
148;Schrobenhausen;BY;48.56;11.26;415;2003;Flair;1996;199.6;50.4;ls;48;797.9;8.5;498.6;8;1.5;66.1;26.3;20.1;13.2;1.66;424.9;12.1;7.3;2.5;2060.1;10.1;-1.92;20;-48.01;3.71;92.81;1.79;44.8;20.5;14.9;9.9;372.6;14.9
149;Schrobenhausen;BY;48.56;11.26;415;2004;Flair;1996;198.7;63.9;ls;48;797.9;8.5;498.6;9;1.83;102.6;22.8;17;11.1;1.84;488.4;11.4;6.9;2.4;1975.3;9.5;-1.39;21;-38.93;3.27;91.63;1.88;52.7;17.8;12.3;6.2;343.2;12.3
161;Giessen;H;50.6;8.65;160;1958;Heines IV;1940;91.1;37.6;ll;63;666.6;9.3;341.6;1;;;;;;;;;;;;;-1.58;18;-34.77;3.65;80.47;2.07;45.7;19.5;14.9;9.1;328.8;14.9
165;Giessen;H;50.6;8.65;160;1961;Heines IV;1940;76.9;32.2;ll;63;666.6;9.3;341.6;5;1.65;87.6;21;15.5;10.1;2.27;654.1;11.8;8;4.3;2370.8;9;1.16;25;49.98;2.39;103.12;3.56;153.1;16.3;11.5;7.6;496.4;11.5
167;Gross Gerau;H;49.93;8.5;90;1962;Heines Merlin;1953;95.1;38.7;ls;57.5;637.4;10.6;235.5;7;1.4;74.2;23.2;17.7;12;1.39;379.9;12;7.8;3.5;2245.5;9.9;-2.92;30;-102.51;4;140.31;1.08;37.8;18.2;12.8;7;449.1;12.8
168;Gross Gerau;H;49.93;8.5;90;1961;Peragis;1950;73.1;21.8;ls;57.5;637.4;10.6;235.5;8;4.78;301.5;21.9;16.3;10.9;2.45;666.7;13;8.9;4.8;2462.4;9.7;0.34;29;17.07;2.27;111.33;2.62;128.4;16.4;11.7;7.3;571.1;11.7
169;Gross Gerau;H;49.93;8.5;90;1961;Wika;1960;75.5;33.5;ls;57.5;637.4;10.6;235.5;9;4.78;301.5;21.9;16.3;10.9;2.45;666.7;13;8.9;4.8;2462.4;9.7;0.34;29;17.07;2.27;111.33;2.62;128.4;16.4;11.7;7.3;571.1;11.7
171;Rauischholzhausen;H;50.76;8.87;230;1963;Jubilar;1961;132.2;49.3;ll;84;658.7;8.9;358.7;1;1.83;97.4;22.5;16.7;10.5;1.46;391.6;9.2;4.9;-0.1;1886.6;10.5;-2.61;29;-91.67;4.17;146.27;1.56;54.6;19.9;14.2;7.9;497.4;14.2
172;Rauischholzhausen;H;50.76;8.87;230;1963;Triumph;1953;120;44.8;ll;84;658.7;8.9;358.7;2;1.83;97.4;22.5;16.7;10.5;1.46;391.6;9.2;4.9;-0.1;1886.6;10.5;-2.61;29;-91.67;4.17;146.27;1.56;54.6;19.9;14.2;7.9;497.4;14.2
173;Giessen;H;50.6;8.65;160;1963;Jubilar;1961;124.9;29.4;ll;63;666.6;9.3;341.6;3;2.79;167.8;23.2;17.2;11.9;1.63;451.2;9.9;5.5;1.2;2053.1;10.9;-2.74;26;-87.77;3.98;127.57;1.24;39.8;19.7;14.2;8.9;455.2;14.2
174;Rauischholzhausen;H;50.76;8.87;230;1964;Jubilar;1961;113.4;55.7;ll;84;658.7;8.9;358.7;4;0.66;34;23.7;17.5;10;1.2;333.5;10.6;6.5;1.6;2078;10.1;-3.36;32;-124.48;4.56;169.08;1.2;44.6;20.9;14.9;7.6;550.3;14.9
175;Rauischholzhausen;H;50.76;8.87;230;1964;Triumph;1953;107.4;41.6;ll;84;658.7;8.9;358.7;5;0.66;34;23.7;17.5;10;1.2;333.5;10.6;6.5;1.6;2078;10.1;-3.36;32;-124.48;4.56;169.08;1.2;44.6;20.9;14.9;7.6;550.3;14.9
178;Giessen;H;50.6;8.65;160;1964;Wika;1960;120;36.9;ll;63;666.6;9.3;341.6;8;0.77;37.4;23.7;17.5;11.1;1.16;318.7;10.8;6.6;2.5;2066.2;10.1;-2.13;21;-55.49;4.52;117.59;2.38;62.1;22.5;15.8;9.7;412;15.8
179;Giessen;H;50.6;8.65;160;1963;Rabe;1962;120;33.6;ll;63;666.6;9.3;341.6;9;2.79;167.8;23.2;17.2;11.9;1.63;451.2;9.9;5.5;1.2;2053.1;10.9;-2.74;26;-87.77;3.98;127.57;1.24;39.8;19.7;14.2;8.9;455.2;14.2
182;Giessen;H;50.6;8.65;160;1968;Hanno;1963;175;49.7;ll;63;666.6;9.3;341.6;2;3.23;168.4;21.9;17.3;11.9;2.1;594.5;11.2;7.3;3.3;2170.6;8.9;-2.05;33;-75.9;3.25;120.4;1.2;44.5;17;12.5;7.5;461.7;12.5
183;Giessen;H;50.6;8.65;160;1968;Markus;1963;175;46.7;ll;63;666.6;9.3;341.6;3;3.23;168.4;21.9;17.3;11.9;2.1;594.5;11.2;7.3;3.3;2170.6;8.9;-2.05;33;-75.9;3.25;120.4;1.2;44.5;17;12.5;7.5;461.7;12.5
185;Giessen;H;50.6;8.65;160;1968;Pantus;1966;203.3;47.3;ll;63;666.6;9.3;341.6;5;3.23;168.4;21.9;17.3;11.9;2.1;594.5;11.2;7.3;3.3;2170.6;8.9;-2.05;33;-75.9;3.25;120.4;1.2;44.5;17;12.5;7.5;461.7;12.5
187;Giessen;H;50.6;8.65;160;1968;Diplomat;1966;167.1;46.8;ll;63;666.6;9.3;341.6;7;3.23;168.4;21.9;17.3;11.9;2.1;594.5;11.2;7.3;3.3;2170.6;8.9;-2.05;33;-75.9;3.25;120.4;1.2;44.5;17;12.5;7.5;461.7;12.5
188;Giessen;H;50.6;8.65;160;1968;Habicht;1998;169.4;47.5;ll;63;666.6;9.3;341.6;8;3.23;168.4;21.9;17.3;11.9;2.1;594.5;11.2;7.3;3.3;2170.6;8.9;-2.05;33;-75.9;3.25;120.4;1.2;44.5;17;12.5;7.5;461.7;12.5
201;Barterode;NDS;51.55;9.77;250;1982;Vuka;1975;190;68.7;tu;31;759.8;8.4;488;1;1.65;91.1;22.8;17.2;12.3;2.07;569;11;6.5;2.7;2030.5;9.4;-2.56;37;-120.62;4.11;193.22;1.54;72.6;19.2;13.5;7.9;633.9;13.5
202;Barterode;NDS;51.55;9.77;250;1982;Caribo;1968;209.7;72.8;tu;31;759.8;8.4;488;2;1.65;91.1;22.8;17.2;12.3;2.07;569;11;6.5;2.7;2030.5;9.4;-2.56;37;-120.62;4.11;193.22;1.54;72.6;19.2;13.5;7.9;633.9;13.5
203;Barterode;NDS;51.55;9.77;250;1982;Monopol;1975;190;68.8;tu;31;759.8;8.4;488;3;1.65;91.1;22.8;17.2;12.3;2.07;569;11;6.5;2.7;2030.5;9.4;-2.56;37;-120.62;4.11;193.22;1.54;72.6;19.2;13.5;7.9;633.9;13.5
204;Weende;NDS;51.55;9.91;145;1983;Monopol;1975;148;58.4;tu;85.5;718.8;9;417.4;4;1.08;53.2;23.3;18;11.3;1.87;531.5;11.3;8.1;4;2375.8;9.3;-0.43;26;-14.66;2.93;99.66;2.5;85;16.4;12.3;7.5;417;12.3
205;Angerstein;NDS;51.61;9.91;132;1983;Disponent;1975;135.4;69.7;tu;85.5;720.9;9.1;417.5;5;0.98;45.3;23.2;18.1;11.5;1.88;534.2;11.3;8.1;4;2376.6;9.2;-0.31;23;-10.1;2.98;95.5;2.66;85.4;16.8;12.8;7.8;409.3;12.8
206;Reinshof;NDS;51.49;9.93;155;1983;Vuka;1975;154.2;67.2;tu;85.5;670.8;8.8;377.6;6;1.67;82.2;22.8;17.7;10.9;1.88;528.6;11.1;7.9;3.8;2275.6;9.1;-0.12;22;-3.72;3.02;90.72;2.9;87;16.5;12.4;7.6;372.8;12.4
207;Reinshof;NDS;51.49;9.93;155;1983;Vuka;1975;79.3;60.1;tu;85.5;670.8;8.8;377.6;7;1.67;82.2;22.8;17.7;10.9;1.88;528.6;11.1;7.9;3.8;2275.6;9.1;-0.12;22;-3.72;3.02;90.72;2.9;87;16.5;12.4;7.6;372.8;12.4
208;Weende;NDS;51.55;9.91;145;1983;Disponent;1975;122.5;58.7;tu;85.5;718.8;9;417.4;8;1.08;53.2;23.3;18;11.3;1.87;531.5;11.3;8.1;4;2375.8;9.3;-0.43;26;-14.66;2.93;99.66;2.5;85;16.4;12.3;7.5;417;12.3
209;Lenglern;NDS;51.57;9.87;163;1983;Opi;1978;129.7;58.4;tu;82.5;720.2;9;420.7;9;0.89;42;23.2;18;11.3;1.87;531.5;11.3;8.1;4;2375.8;9.3;-0.45;27;-16.29;2.98;107.39;2.53;91.1;16.5;12.3;7.6;444.6;12.3
210;Flensburg;SH;54.76;9.43;50;1990;Knirps;1985;218.4;87.4;ls;67.5;881;8.5;650.8;10;3.02;169.4;18.7;14.8;11.2;2.34;684.1;11.7;8.4;5.3;2474.6;8.8;-1.61;36;-69.38;2.87;123.58;1.26;54.2;17.1;12.4;7.7;535.3;12.4
211;Flensburg;SH;54.76;9.43;50;1989;Kraka;1982;270;91.6;ls;67.5;881;8.5;650.8;11;1.76;81.4;21.9;17.1;12.2;1.82;534.1;11.4;8.2;5.1;2413;8.5;-1.97;41;-92.87;3.06;143.87;1.08;51;16.4;11.5;6.6;538.4;11.5
282;Ihinger Hof;BW;48.74;8.92;480;1983;Vuka;1975;78.7;45.4;ll;74;741.1;8.9;413.9;2;2.07;93.2;24.3;19;12.6;2.49;666.3;11.8;8;3.6;2202.5;9.5;1.04;24;43.85;3.32;139.45;4.36;183.3;17.6;13;8.2;546.8;13
283;Ihinger Hof;BW;48.74;8.92;480;1983;Vuka;1975;99.8;50.2;ll;74;741.1;8.9;413.9;3;2.07;93.2;24.3;19;12.6;2.49;666.3;11.8;8;3.6;2202.5;9.5;1.04;24;43.85;3.32;139.45;4.36;183.3;17.6;13;8.2;546.8;13
284;Ihinger Hof;BW;48.74;8.92;480;1983;Vuka;1975;111.8;56.1;ll;74;741.1;8.9;413.9;4;2.07;93.2;24.3;19;12.6;2.49;666.3;11.8;8;3.6;2202.5;9.5;1.04;24;43.85;3.32;139.45;4.36;183.3;17.6;13;8.2;546.8;13
291;Giessen;H;50.6;8.65;160;1974;Caribo;1968;122.9;53.4;ll;63;666.6;9.3;341.6;1;2.34;133.5;20.5;15.5;10.6;1.6;451.2;11.7;7.8;3.8;2260.6;8.7;-1.6;45;-85.09;2.94;156.09;1.33;71;16;11.1;5.5;585.9;11.1
297;Giessen;H;50.6;8.65;160;1975;Benno;1973;240;67.9;ll;63;666.6;9.3;341.6;7;1.7;78.6;23;18;13.2;1.78;467.2;12.3;8.6;4.7;2262.1;8.9;-2.87;35;-114.85;3.8;152.05;0.93;37.2;18.3;13.4;7.4;537.5;13.4
301;Rauischholzhausen;H;50.76;8.87;230;1968;Felix;1961;103.3;50.9;ll;84;658.7;8.9;358.7;1;2.9;174.3;21.5;16.8;11.3;2.04;596.2;11.1;7.3;3.1;2258.1;9.1;-1.4;27;-51.82;3.1;114.72;1.7;62.9;16.9;12.4;6.9;457.7;12.4
302;Rauischholzhausen;H;50.76;8.87;230;1968;Felix;1961;100;54.3;ll;84;658.7;8.9;358.7;2;2.9;174.3;21.5;16.8;11.3;2.04;596.2;11.1;7.3;3.1;2258.1;9.1;-1.4;27;-51.82;3.1;114.72;1.7;62.9;16.9;12.4;6.9;457.7;12.4
303;Rauischholzhausen;H;50.76;8.87;230;1968;Felix;1961;100;51.8;ll;84;658.7;8.9;358.7;3;2.9;174.3;21.5;16.8;11.3;2.04;596.2;11.1;7.3;3.1;2258.1;9.1;-1.4;27;-51.82;3.1;114.72;1.7;62.9;16.9;12.4;6.9;457.7;12.4
304;Rauischholzhausen;H;50.76;8.87;230;1968;Felix;1961;97.7;50.4;ll;84;658.7;8.9;358.7;4;2.9;174.3;21.5;16.8;11.3;2.04;596.2;11.1;7.3;3.1;2258.1;9.1;-1.4;27;-51.82;3.1;114.72;1.7;62.9;16.9;12.4;6.9;457.7;12.4
