site;var_name;value;exceldate
Ahaus;precipitation height;0.00;18935
Ahaus;precipitation height;4.30;18936
Ahaus;precipitation height;5.90;18937
Ahaus;precipitation height;0.40;18938
Ahaus;precipitation height;0.60;18939
Ahaus;precipitation height;4.30;18940
Ahaus;precipitation height;0.00;18941
Ahaus;precipitation height;0.30;18942
Ahaus;precipitation height;3.60;18943
Ahaus;precipitation height;16.40;18944
Ahaus;precipitation height;7.30;18945
Ahaus;precipitation height;0.80;18946
Ahaus;precipitation height;2.20;18947
Ahaus;precipitation height;9.30;18948
Ahaus;precipitation height;0.90;18949
Ahaus;precipitation height;0.00;18950
Ahaus;precipitation height;3.80;18951
Ahaus;precipitation height;9.50;18952
Ahaus;precipitation height;3.60;18953
Ahaus;precipitation height;1.20;18954
Ahaus;precipitation height;2.00;18955
Ahaus;precipitation height;16.20;18956
Ahaus;precipitation height;8.10;18957
Ahaus;precipitation height;0.00;18958
Ahaus;precipitation height;0.10;18959
Ahaus;precipitation height;11.30;18960
Ahaus;precipitation height;8.70;18961
Ahaus;precipitation height;0.70;18962
Ahaus;precipitation height;0.30;18963
Ahaus;precipitation height;0.80;18964
Ahaus;precipitation height;2.90;18965
Ahaus;precipitation height;2.10;18966
Ahaus;precipitation height;0.00;18967
Ahaus;precipitation height;9.60;18968
Ahaus;precipitation height;7.70;18969
Ahaus;precipitation height;6.50;18970
Ahaus;precipitation height;7.40;18971
Ahaus;precipitation height;0.60;18972
Ahaus;precipitation height;0.00;18973
Ahaus;precipitation height;0.00;18974
Ahaus;precipitation height;0.00;18975
Ahaus;precipitation height;0.10;18976
Ahaus;precipitation height;0.20;18977
Ahaus;precipitation height;0.40;18978
Ahaus;precipitation height;7.50;18979
Ahaus;precipitation height;0.00;18980
Ahaus;precipitation height;0.00;18981
Ahaus;precipitation height;0.00;18982
Ahaus;precipitation height;0.00;18983
Ahaus;precipitation height;3.80;18984
Ahaus;precipitation height;2.90;18985
Ahaus;precipitation height;0.70;18986
Ahaus;precipitation height;9.10;18987
Ahaus;precipitation height;5.90;18988
Ahaus;precipitation height;4.70;18989
Ahaus;precipitation height;5.70;18990
Ahaus;precipitation height;0.00;18991
Ahaus;precipitation height;3.00;18992
Ahaus;precipitation height;0.10;18993
Ahaus;precipitation height;8.90;18994
Ahaus;precipitation height;17.30;18995
Ahaus;precipitation height;1.50;18996
Ahaus;precipitation height;0.70;18997
Ahaus;precipitation height;0.00;18998
Ahaus;precipitation height;0.00;18999
Ahaus;precipitation height;0.40;19000
Ahaus;precipitation height;2.60;19001
Ahaus;precipitation height;7.20;19002
Ahaus;precipitation height;15.00;19003
Ahaus;precipitation height;0.40;19004
Ahaus;precipitation height;3.60;19005
Ahaus;precipitation height;6.00;19006
Ahaus;precipitation height;0.00;19007
Ahaus;precipitation height;1.80;19008
Ahaus;precipitation height;5.50;19009
Ahaus;precipitation height;6.90;19010
Ahaus;precipitation height;2.70;19011
Ahaus;precipitation height;1.50;19012
Ahaus;precipitation height;3.60;19013
Ahaus;precipitation height;0.80;19014
Ahaus;precipitation height;0.00;19015
Ahaus;precipitation height;0.00;19016
Ahaus;precipitation height;0.00;19017
Ahaus;precipitation height;0.00;19018
Ahaus;precipitation height;2.00;19019
Ahaus;precipitation height;0.40;19020
Ahaus;precipitation height;1.50;19021
Ahaus;precipitation height;1.70;19022
Ahaus;precipitation height;1.30;19023
Ahaus;precipitation height;4.90;19024
Ahaus;precipitation height;2.30;19025
Ahaus;precipitation height;0.00;19026
Ahaus;precipitation height;0.10;19027
Ahaus;precipitation height;0.00;19028
Ahaus;precipitation height;4.80;19029
Ahaus;precipitation height;1.30;19030
Ahaus;precipitation height;4.10;19031
Ahaus;precipitation height;1.70;19032
Ahaus;precipitation height;2.30;19033
Ahaus;precipitation height;15.50;19034
Ahaus;precipitation height;0.00;19035
Ahaus;precipitation height;0.30;19036
Ahaus;precipitation height;0.00;19037
Ahaus;precipitation height;0.00;19038
Ahaus;precipitation height;0.00;19039
Ahaus;precipitation height;0.40;19040
Ahaus;precipitation height;0.80;19041
Ahaus;precipitation height;0.20;19042
Ahaus;precipitation height;1.50;19043
Ahaus;precipitation height;0.00;19044
Ahaus;precipitation height;3.70;19045
Ahaus;precipitation height;0.00;19046
Ahaus;precipitation height;0.00;19047
Ahaus;precipitation height;0.00;19048
Ahaus;precipitation height;1.40;19049
Ahaus;precipitation height;0.00;19050
Ahaus;precipitation height;0.00;19051
Ahaus;precipitation height;1.40;19052
Ahaus;precipitation height;0.00;19053
Ahaus;precipitation height;0.10;19054
Ahaus;precipitation height;0.00;19055
Ahaus;precipitation height;0.00;19056
Ahaus;precipitation height;1.40;19057
Ahaus;precipitation height;0.10;19058
Ahaus;precipitation height;0.00;19059
Ahaus;precipitation height;0.00;19060
Ahaus;precipitation height;0.00;19061
